id,name,area,parent_id,parent_name,category,description,address,image,source_url,image_credit,image_license,image_source_page,image_license_url
highway-oasis,淡路ハイウェイオアシス,岩屋・北部,,,グルメ,食事や買い物を楽しめる高速道路直結の複合施設。,兵庫県淡路市岩屋大林2674-3,https://upload.wikimedia.org/wikipedia/commons/a/ae/Awaji_Highway_Oasis.JPG,https://www.awajishimahighwayoasis.com/,KishujiRapid,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Awaji_Highway_Oasis.JPG,https://creativecommons.org/licenses/by-sa/3.0/
matsuho-no-sato,美湯 松帆の郷,岩屋・北部,,,温泉,明石海峡大橋を望む露天風呂で知られる日帰り温泉。,兵庫県淡路市岩屋3570-77,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,https://www.awajishima-kanko.jp/,,,,
eshima,絵島,岩屋・北部,,,自然,岩屋港近くにある景勝地。,兵庫県淡路市岩屋,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://www.awajishima-kanko.jp/,,,,
honpukuji,本福寺 水御堂,岩屋・北部,,,歴史,安藤忠雄氏設計の水面と寺院空間で知られる寺院。,兵庫県淡路市浦1310,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.awajishima-kanko.jp/,,,,
hokudan-earthquake,北淡震災記念公園,岩屋・北部,,,歴史,阪神・淡路大震災と野島断層について学べる施設。,兵庫県淡路市小倉177,https://images.unsplash.com/photo-1528360983277-13d401cdc186?auto=format&fit=crop&w=1000&q=80,https://www.nojima-danso.co.jp/,,,,
yumebutai,淡路夢舞台,東海岸,,,複合施設,建築、庭園、自然、ホテル、会議場などが集まる複合施設。,兵庫県淡路市夢舞台2,https://upload.wikimedia.org/wikipedia/commons/d/d7/Awaji_yumebutai16s3.jpg,https://www.yumebutai.co.jp/map/,663highland,CC BY 2.5,https://commons.wikimedia.org/wiki/File:Awaji_yumebutai16s3.jpg,https://creativecommons.org/licenses/by/2.5/
yumebutai-hyakudan,百段苑,東海岸,yumebutai,淡路夢舞台,庭園,山の斜面に沿って100個の花壇が階段状に並ぶ庭園。,兵庫県淡路市夢舞台2,https://images.unsplash.com/photo-1497250681960-ef046c08a56e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-greenhouse,あわじグリーン館,東海岸,yumebutai,淡路夢舞台,植物園,植物と建築空間を楽しめる温室型植物園。,兵庫県淡路市夢舞台4,https://images.unsplash.com/photo-1497250681960-ef046c08a56e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-sea-corridor,展望テラス 海回廊,東海岸,yumebutai,淡路夢舞台,建築,海に開かれた明るい回廊空間。,兵庫県淡路市夢舞台2,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-oval-forum,展望テラス 楕円フォーラム,東海岸,yumebutai,淡路夢舞台,建築,海回廊と山回廊をつなぐ大きな楕円形空間。,兵庫県淡路市夢舞台2,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-mountain-corridor,展望テラス 山回廊,東海岸,yumebutai,淡路夢舞台,建築,列柱廊と光・影の演出が特徴の回廊。,兵庫県淡路市夢舞台2,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-soraniwa,空庭,東海岸,yumebutai,淡路夢舞台,庭園,立方体状の空間と階段が特徴的な庭。,兵庫県淡路市夢舞台2,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-mizuniwa,水庭,東海岸,yumebutai,淡路夢舞台,庭園,壁、滝、水盤を中心に構成された庭園空間。,兵庫県淡路市夢舞台2,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-shell,貝の浜と噴水,東海岸,yumebutai,淡路夢舞台,建築,多数のホタテ貝殻と噴水による水景空間。,兵庫県淡路市夢舞台2,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-theater,野外劇場,東海岸,yumebutai,淡路夢舞台,文化,夢舞台内にある屋外劇場空間。,兵庫県淡路市夢舞台2,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-conference,淡路夢舞台国際会議場,東海岸,yumebutai,淡路夢舞台,文化,自然の中にあるリゾート＆コンファレンス施設。,兵庫県淡路市夢舞台1,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-grandnikko,グランドニッコー淡路,東海岸,yumebutai,淡路夢舞台,ホテル,淡路夢舞台内のリゾートホテル。,兵庫県淡路市夢舞台2,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
yumebutai-sea-chapel,海の教会,東海岸,yumebutai,淡路夢舞台,建築,グランドニッコー淡路内にある教会空間。,兵庫県淡路市夢舞台2,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.yumebutai.co.jp/map/,,,,
kaikyo-park,淡路島国営明石海峡公園,東海岸,,,公園,季節の花や大型遊具を楽しめる国営公園。,兵庫県淡路市夢舞台8-10,https://images.unsplash.com/photo-1497250681960-ef046c08a56e?auto=format&fit=crop&w=1000&q=80,https://awaji-kaikyopark.kkr.mlit.go.jp/,,,,
aquaignis,アクアイグニス淡路島,東海岸,,,温泉,大阪湾を望む温浴と食の複合施設。,兵庫県淡路市夢舞台2-28,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,https://aquaignis-awaji.jp/,,,,
cat-art,淡路市立中浜稔猫美術館,東海岸,,,文化,猫の墨絵作品を展示する美術館。,兵庫県淡路市浦668-2,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.city.awaji.lg.jp/,,,,
nojima-scuola,のじまスコーラ,西海岸,,,複合施設,旧小学校を活用したレストラン・ショップ等の複合施設。,兵庫県淡路市野島蟇浦843,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1000&q=80,https://nojima-scuola.com/,,,,
hello-kitty-smile,HELLO KITTY SMILE,西海岸,,,体験,海沿いにあるテーマ施設。,兵庫県淡路市野島蟇浦985-1,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1000&q=80,https://awaji-resort.com/hellokittysmile/,,,,
hello-kitty-showbox,HELLO KITTY SHOW BOX,西海岸,,,体験,ショーと食事を組み合わせたテーマ施設。,兵庫県淡路市野島平林177-5,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://awaji-resort.com/hellokittyshowbox/,,,,
seikaiha,青海波,西海岸,,,複合施設,海を望む劇場・レストランなどを備える複合施設。,兵庫県淡路市野島大川70,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1000&q=80,https://awaji-seikaiha.com/,,,,
craft-circus,クラフトサーカス,西海岸,,,グルメ,海辺の飲食や買い物を楽しめる複合施設。,兵庫県淡路市野島平林2-2,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1000&q=80,https://awajicraftcircus.com/,,,,
miele,miele,西海岸,,,グルメ,播磨灘を望む西海岸のカフェ・レストラン。,兵庫県淡路市野島蟇浦785-9,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1000&q=80,https://www.miele-da-scuola.com/,,,,
chef-garden,淡路シェフガーデン by PASONA,西海岸,,,グルメ,複数の飲食店が集まる海沿いのフードエリア。,兵庫県淡路市野島大川,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1000&q=80,https://awaji-resort.com/,,,,
izanagi,伊弉諾神宮,西海岸,,,歴史,国生み神話ゆかりの古社。,兵庫県淡路市多賀740,https://upload.wikimedia.org/wikipedia/commons/5/58/Izanagi-shrine.jpg,https://izanagi-jingu.jp/,Bakkai,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Izanagi-shrine.jpg,https://creativecommons.org/licenses/by/3.0/
parchez,パルシェ香りの館・香りの湯,西海岸,,,複合施設,香り、ハーブ、温泉を楽しめる複合施設。,兵庫県淡路市尾崎3025-1,https://images.unsplash.com/photo-1497250681960-ef046c08a56e?auto=format&fit=crop&w=1000&q=80,https://www.parchez.co.jp/,,,,
sumoto-castle,洲本城跡,洲本・中部,,,歴史,三熊山から市街と海を見渡せる城跡。,兵庫県洲本市小路谷1272,https://upload.wikimedia.org/wikipedia/commons/b/bd/%E6%B4%B2%E6%9C%AC%E5%9F%8E.png,https://www.city.sumoto.lg.jp/,Shimasuki,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:%E6%B4%B2%E6%9C%AC%E5%9F%8E.png,https://creativecommons.org/licenses/by-sa/3.0/
sumoto-onsen,洲本温泉,洲本・中部,,,温泉,海沿いに旅館・ホテルが集まる温泉地。,兵庫県洲本市小路谷周辺,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,https://www.city.sumoto.lg.jp/,,,,
ohama-beach,大浜海水浴場,洲本・中部,,,自然,洲本市街から近い白砂青松の海岸。,兵庫県洲本市海岸通1丁目,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1000&q=80,https://www.city.sumoto.lg.jp/,,,,
s-brick,S BRICK,洲本・中部,,,文化,赤レンガ建築を活用した交流拠点。,兵庫県洲本市塩屋1丁目1-8,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://sumoto-brick.jp/,,,,
retro-komichi,洲本レトロこみち,洲本・中部,,,街歩き,古い町家や小さな店が点在する散策エリア。,兵庫県洲本市本町周辺,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://www.city.sumoto.lg.jp/,,,,
aiya-waterfall,鮎屋の滝,洲本・中部,,,自然,淡路島を代表する滝のひとつ。,兵庫県洲本市鮎屋,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://www.city.sumoto.lg.jp/,,,,
narugashima,成ヶ島,洲本・中部,,,自然,由良沖に延びる砂州景観で知られる島。,兵庫県洲本市由良町由良,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1000&q=80,https://www.city.sumoto.lg.jp/,,,,
monkey-center,淡路島モンキーセンター,洲本・中部,,,体験,ニホンザルの群れを観察できる施設。,兵庫県洲本市畑田組289,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://monkey-center.com/,,,,
wellness-goshiki,ウェルネスパーク五色,洲本・中部,,,複合施設,温泉、宿泊、スポーツなどを楽しめる公園施設。,兵庫県洲本市五色町都志1087,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://www.takataya.jp/,,,,
michi-uzushio,道の駅うずしお,南あわじ,,,グルメ,鳴門海峡の景色と淡路島グルメを楽しめる道の駅。,兵庫県南あわじ市福良丙947-22,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1000&q=80,https://eki.uzunokuni.com/,,,,
uzushio-cruise,うずしおクルーズ,南あわじ,,,体験,福良港から鳴門海峡のうずしおを観賞するクルーズ。,兵庫県南あわじ市福良港,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1000&q=80,https://www.uzu-shio.com/,,,,
uzunooka,うずの丘 大鳴門橋記念館,南あわじ,,,観光,鳴門海峡を望む丘の観光・飲食施設。,兵庫県南あわじ市福良丙936-3,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1000&q=80,https://kinen.uzunokuni.com/,,,,
awaji-farm,淡路島牧場,南あわじ,,,体験,乳しぼりなどを楽しめる観光牧場。,兵庫県南あわじ市八木養宜上1,https://images.unsplash.com/photo-1500595046743-cd271d694d30?auto=format&fit=crop&w=1000&q=80,https://www.awajishima.or.jp/,,,,
england-hill,淡路ファームパーク イングランドの丘,南あわじ,,,複合施設,動物、花、農業体験などを楽しめる農業公園。,兵庫県南あわじ市八木養宜上1401,https://images.unsplash.com/photo-1500595046743-cd271d694d30?auto=format&fit=crop&w=1000&q=80,https://www.england-hill.com/,,,,
england-koala,コアラ館,南あわじ,england-hill,淡路ファームパーク イングランドの丘,動物,イングランドの丘でコアラを観察できる施設。,兵庫県南あわじ市八木養宜上1401,https://images.unsplash.com/photo-1500595046743-cd271d694d30?auto=format&fit=crop&w=1000&q=80,https://www.england-hill.com/,,,,
england-animal,動物ふれあいエリア,南あわじ,england-hill,淡路ファームパーク イングランドの丘,動物,動物とのふれあいを楽しめるエリア。,兵庫県南あわじ市八木養宜上1401,https://images.unsplash.com/photo-1500595046743-cd271d694d30?auto=format&fit=crop&w=1000&q=80,https://www.england-hill.com/,,,,
england-flower,季節の花畑,南あわじ,england-hill,淡路ファームパーク イングランドの丘,自然,季節の花を楽しめる園内スポット。,兵庫県南あわじ市八木養宜上1401,https://images.unsplash.com/photo-1497250681960-ef046c08a56e?auto=format&fit=crop&w=1000&q=80,https://www.england-hill.com/,,,,
onokorojima-jinja,おのころ島神社,南あわじ,,,歴史,国生み神話ゆかりの地として知られる神社。,兵庫県南あわじ市榎列下幡多415,https://images.unsplash.com/photo-1528360983277-13d401cdc186?auto=format&fit=crop&w=1000&q=80,https://www.city.minamiawaji.hyogo.jp/,,,,
awaji-ningyoza,淡路人形座,南あわじ,,,文化,淡路人形浄瑠璃を公演する福良の劇場。,兵庫県南あわじ市福良甲1528-1,https://images.unsplash.com/photo-1470770841072-f978cf4d019e?auto=format&fit=crop&w=1000&q=80,https://awajiningyoza.com/,,,,
keino-matsubara,慶野松原,南あわじ,,,自然,松林と砂浜、夕景で知られる海岸。,兵庫県南あわじ市松帆古津路,https://upload.wikimedia.org/wikipedia/commons/9/9a/Keino_matsubara_01.jpg,https://www.city.minamiawaji.hyogo.jp/,Pinqui,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Keino_matsubara_01.jpg,https://creativecommons.org/licenses/by-sa/3.0/
kuroiwa-suisen,灘黒岩水仙郷,南あわじ,,,自然,冬に水仙が斜面を彩る景勝地。,兵庫県南あわじ市灘黒岩2,https://images.unsplash.com/photo-1497250681960-ef046c08a56e?auto=format&fit=crop&w=1000&q=80,https://www.city.minamiawaji.hyogo.jp/,,,,
nushima,沼島,南あわじ,,,自然,淡路島南方に浮かぶ神話と自然景観の島。,兵庫県南あわじ市沼島,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1000&q=80,https://www.city.minamiawaji.hyogo.jp/,,,,
